Comment,Description,Designator,Footprint,LibRef,Quantity

"2.2uF","CAP","C1, C2","C0201","C0201","2"
"2.2nF","CAP","C3","C0201","C0201","1"
"0.1uF","CAP","C4, C6, C8","C0201","C0201","3"
"1uF","","C5, C9, C10, C11","C0402","C0201","4"
"4.7uF","","C7","C0402","C0201","1"
"47nF","CAP","C13","C0201","C0201","1"
"NC","CAP","C14","C0201","C0201","1"
"5V","TVS","D1, D2, D5, D6","D0201-BI_A","RSFK9D3NT","4"
"TVS/5V","TVS","D3","D0201-BI_A","RSFK9D3NT","1"
"12V","TVS","D4, D7","D0201-BI_A","RSFK9D3NT","2"
"RSFK9D3NT","TVS, [NoValue]","D8, D9, D10, D11, D12, D13","D0201-BI_A","RSFK9D3NT","6"
"SM06B-GHS-TB(LF)(SN)","Description","J1","CONN_SM06B-GHS-TB_JST","SM06B-GHS-TBLFSN","1"
"MICRO XNJ ZB","","J2","MICRO-USB-SMD_MICRO-XNJ-ZB","MICRO XNJ ZB","1"
"NCD1615RC1","LED","LED1","LED-SMD_4P-L1.6-W1.5-TL-1","NCD1615RC1","1"
"MMBT3904T","NPN triode","Q1, Q2","SOT-523-3_L1.6-W0.8-P1.00-LS1.6-BR","MMBT3904T","2"
"Res1","Resistor","R1, R2, R3, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R27","R0201","Res1","25"
"RING","Metal Ring","Ring1","½ðÊô»·","RING","1"
"TestPoint","","TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12","TestPoint","TestPoint","12"
"CCM4201S","","U1","QFN40P400X400X85_HS-33N","CCM4201S","1"
"BF82192C","","U2","BF82192c","BF82192C","1"
"ME6230C33U4AG","LDO","U3","FBP4L_L1.0-W1.0-P0.65-BL-EP","ME6230C33U4AG","1"
"ZB25VQ32BSIG","","U4","SOIJ-8_L5.3-W5.3-P1.27-LS7.9-BL","ZB25VQ32BSIG","1"
