Altium Designer Pick and Place Locations
C:\Users\JIAKUN PI\Desktop\Prj\Project Outputs for BM22192DA06_PIJIAKUN_20260807\Pick Place for BM22192DA06_PCB.csv

========================================================================================================================
File Design Information:

Date:       07/08/26
Time:       14:19
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"TP12","TestPoint","TopLayer","TestPoint","6.4008","18.9992","90","","6.4008","18.9992","6.4008","18.9992"
"TP1","TestPoint","TopLayer","TestPoint","7.9756","8.6868","180","","7.9756","8.6868","7.9756","8.6868"
"D6","5V","TopLayer","D0201-BI_A","3.2766","16.2315","270","TVS","3.2763","16.2347","3.2766","16.4865"
"D5","5V","TopLayer","D0201-BI_A","19.5843","17.5768","180","TVS","19.5875","17.5771","19.8393","17.5768"
"C4","0.1uF","TopLayer","C0201","9.8298","21.0357","270","CAP","9.8298","21.0357","9.8298","21.3106"
"U1","CCM4201S","TopLayer","QFN40P400X400X85_HS-33N","11.3030","17.6022","270","","11.3030","17.6022","12.7030","19.5772"
"J1","SM06B-GHS-TB(LF)(SN)","TopLayer","CONN_SM06B-GHS-TB_JST","11.5363","31.8431","180","Description","11.5363","32.1188","14.6613","30.2431"
"U4","ZB25VQ32BSIG","TopLayer","SOIJ-8_L5.3-W5.3-P1.27-LS7.9-BL","16.9926","24.1634","270","","16.9926","24.1808","13.4776","26.0684"
"U3","ME6230C33U4AG","TopLayer","FBP4L_L1.0-W1.0-P0.65-BL-EP","4.2418","8.9916","180","LDO","4.2926","8.9916","4.5974","9.3980"
"U2","BF82192C","TopLayer","BF82192c","11.3380","17.6226","0","","11.3380","17.5926","16.3380","19.3926"
"TP11","TestPoint","TopLayer","TestPoint","10.3378","9.4996","270","","10.3378","9.4996","10.3378","9.4996"
"TP10","TestPoint","TopLayer","TestPoint","11.6332","9.4996","270","","11.6332","9.4996","11.6332","9.4996"
"TP9","TestPoint","TopLayer","TestPoint","15.1384","15.0622","270","","15.1384","15.0622","15.1384","15.0622"
"TP8","TestPoint","TopLayer","TestPoint","15.0622","13.7922","270","","15.0622","13.7922","15.0622","13.7922"
"TP7","TestPoint","TopLayer","TestPoint","5.4356","12.2936","270","","5.4356","12.2936","5.4356","12.2936"
"TP6","TestPoint","TopLayer","TestPoint","17.8308","29.0830","90","","17.8308","29.0830","17.8308","29.0830"
"TP5","TestPoint","TopLayer","TestPoint","14.0716","12.7254","90","","14.0716","12.7254","14.0716","12.7254"
"TP4","TestPoint","TopLayer","TestPoint","13.0810","11.9380","90","","13.0810","11.9380","13.0810","11.9380"
"TP3","TestPoint","TopLayer","TestPoint","8.0010","25.1206","270","","8.0010","25.1206","8.0010","25.1206"
"TP2","TestPoint","TopLayer","TestPoint","5.3340","30.0990","270","","5.3340","30.0990","5.3340","30.0990"
"R27","Res1","TopLayer","R0201","7.6499","18.0848","180","Resistor","7.6499","18.0848","7.9248","18.0848"
"R25","Res1","TopLayer","R0201","5.6642","9.0469","90","Resistor","5.6642","9.0469","5.6642","8.7720"
"R24","Res1","TopLayer","R0201","12.1666","14.1179","90","Resistor","12.1666","14.1179","12.1666","13.8430"
"R23","Res1","TopLayer","R0201","13.0048","14.1269","90","Resistor","13.0048","14.1269","13.0048","13.8520"
"R22","Res1","TopLayer","R0201","5.6642","10.4185","90","Resistor","5.6642","10.4185","5.6642","10.1436"
"R21","Res1","TopLayer","R0201","4.7752","10.4439","90","Resistor","4.7752","10.4439","4.7752","10.1690"
"R20","Res1","TopLayer","R0201","10.4648","14.1179","90","Resistor","10.4648","14.1179","10.4648","13.8430"
"R19","Res1","TopLayer","R0201","16.4383","17.3736","180","Resistor","16.4383","17.3736","16.7132","17.3736"
"R18","Res1","TopLayer","R0201","6.3500","15.1593","270","Resistor","6.3500","15.1593","6.3500","15.4342"
"R17","Res1","TopLayer","R0201","8.0981","16.5100","180","Resistor","8.0981","16.5100","8.3730","16.5100"
"R16","Res1","TopLayer","R0201","12.9286","21.0267","90","Resistor","12.9286","21.0267","12.9286","20.7518"
"R15","Res1","TopLayer","R0201","7.7261","20.1676","0","Resistor","7.7261","20.1676","7.4512","20.1676"
"R14","Res1","TopLayer","R0201","16.4592","28.3464","270","Resistor","16.4592","28.3464","16.4592","28.6213"
"R13","Res1","TopLayer","R0201","18.1057","15.2146","0","Resistor","18.1057","15.2146","17.8308","15.2146"
"R12","Res1","TopLayer","R0201","7.6962","19.2786","180","Resistor","7.6962","19.2786","7.9711","19.2786"
"R11","Res1","TopLayer","R0201","6.7011","16.5100","0","Resistor","6.7011","16.5100","6.4262","16.5100"
"R10","Res1","TopLayer","R0201","6.4008","13.8176","90","Resistor","6.4008","13.8176","6.4008","13.5427"
"R9","Res1","TopLayer","R0201","11.3284","14.1269","90","Resistor","11.3284","14.1269","11.3284","13.8520"
"R8","Res1","TopLayer","R0201","4.9321","13.6144","0","Resistor","4.9321","13.6144","4.6572","13.6144"
"R7","Res1","TopLayer","R0201","3.3274","14.9561","90","Resistor","3.3274","14.9561","3.3274","14.6812"
"R6","Res1","TopLayer","R0201","16.4129","16.5862","180","Resistor","16.4129","16.5862","16.6878","16.5862"
"R5","Res1","TopLayer","R0201","18.0340","18.4613","270","Resistor","18.0340","18.4613","18.0340","18.7362"
"R3","Res1","TopLayer","R0201","15.3924","20.3454","0","Resistor","15.3924","20.3454","15.1175","20.3454"
"R2","Res1","TopLayer","R0201","14.6603","16.2306","180","Resistor","14.6603","16.2306","14.9352","16.2306"
"R1","Res1","TopLayer","R0201","5.6134","16.3277","270","Resistor","5.6134","16.3277","5.6134","16.6026"
"Q2","MMBT3904T","TopLayer","SOT-523-3_L1.6-W0.8-P1.00-LS1.6-BR","4.8848","15.0772","270","NPN triode","4.8438","15.0475","4.3848","14.4272"
"Q1","MMBT3904T","TopLayer","SOT-523-3_L1.6-W0.8-P1.00-LS1.6-BR","18.1022","16.6266","270","NPN triode","18.0612","16.5969","17.6022","15.9766"
"LED1","NCD1615RC1","BottomLayer","LED-SMD_4P-L1.6-W1.5-TL-1","11.5385","33.3656","90","LED","11.5385","33.3656","11.9634","32.7406"
"J2","MICRO XNJ ZB","TopLayer","MICRO-USB-SMD_MICRO-XNJ-ZB","11.5388","3.7456","270","","11.5388","2.9665","10.2388","5.1331"
