Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\BM43112DC02_PIJIAKUN\Project Outputs for BM43112DC02_PIJIAKUN\Pick Place for BM43112DC02_PIJIAKUN_PCB.csv

========================================================================================================================
File Design Information:

Date:       17/08/26
Time:       18:01
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"U3","LP3997-33QVF","BottomLayer","DFN_1*1-4L","4.1910mm","0.0000mm","0","线性稳压器","4.1910mm","0.0000mm","4.1910mm","-0.0424mm"
"U2","BF83112DW7&D_7&F_4","TopLayer","BF83112DW7&D_7&F_4","0.0000mm","0.0000mm","0","电容按压式指纹识别芯片","0.0000mm","0.0000mm","3.0500mm","1.8000mm"
"U1","ACM32FP421FIU6","BottomLayer","QFN_20_3*3_Pitch_0.4","0.0000mm","3.4000mm","270","微控制单元","0.0000mm","3.4000mm","0.0000mm","3.4000mm"
"TP10","TP","BottomLayer","TP（Φ0.5）","0.6985mm","-5.0800mm","90","非正常物料无需采购","0.6985mm","-5.0800mm","0.6985mm","-5.0800mm"
"TP9","TP","BottomLayer","TP（Φ0.5）","1.4318mm","1.8890mm","90","非正常物料无需采购","1.4318mm","1.8890mm","1.4318mm","1.8890mm"
"TP8","TP","BottomLayer","TP（Φ0.5）","1.2700mm","1.1430mm","90","非正常物料无需采购","1.2700mm","1.1430mm","1.2700mm","1.1430mm"
"TP7","TP","BottomLayer","TP（Φ0.5）","-2.9210mm","2.6670mm","90","非正常物料无需采购","-2.9210mm","2.6670mm","-2.9210mm","2.6670mm"
"TP6","TP","BottomLayer","TP（Φ0.5）","1.6193mm","-5.0800mm","90","非正常物料无需采购","1.6193mm","-5.0800mm","1.6193mm","-5.0800mm"
"TP5","TP","BottomLayer","TP（Φ0.5）","2.5400mm","-5.0800mm","90","非正常物料无需采购","2.5400mm","-5.0800mm","2.5400mm","-5.0800mm"
"TP4","TP","BottomLayer","TP（Φ0.5）","-5.5880mm","1.0160mm","90","非正常物料无需采购","-5.5880mm","1.0160mm","-5.5880mm","1.0160mm"
"TP3","TP","BottomLayer","TP（Φ0.5）","-1.1430mm","-5.0800mm","90","非正常物料无需采购","-1.1430mm","-5.0800mm","-1.1430mm","-5.0800mm"
"TP2","TP","BottomLayer","TP（Φ0.5）","-5.4610mm","2.1590mm","90","非正常物料无需采购","-5.4610mm","2.1590mm","-5.4610mm","2.1590mm"
"TP1","TP","BottomLayer","TP（Φ0.5）","-0.2223mm","-5.0800mm","90","非正常物料无需采购","-0.2223mm","-5.0800mm","-0.2223mm","-5.0800mm"
"Ring1","Ring","TopLayer","Ring","3.0157mm","-6.9801mm","0","金属环","0.0000mm","0.0000mm","3.0157mm","-6.9801mm"
"R22","100R/NC","BottomLayer","R0201","-1.5700mm","4.6990mm","0","RES S 0402 5.1Ω J 1/16W","-1.5700mm","4.6990mm","-1.8700mm","4.6990mm"
"R21","47R/NC","BottomLayer","R0201","-2.8750mm","3.4290mm","0","RES S 0402 5.1Ω J 1/16W","-2.8750mm","3.4290mm","-3.1750mm","3.4290mm"
"R20","47R/NC","BottomLayer","R0201","-1.5700mm","5.3340mm","180","RES S 0402 5.1Ω J 1/16W","-1.5700mm","5.3340mm","-1.2700mm","5.3340mm"
"R18","0Ω,5%","BottomLayer","R0201","-4.8720mm","-2.2860mm","180","贴片电阻","-4.8720mm","-2.2860mm","-4.5720mm","-2.2860mm"
"R17","0Ω,5%//NC","BottomLayer","R0201","2.1590mm","0.4620mm","90","贴片电阻","2.1590mm","0.4620mm","2.1590mm","0.1620mm"
"R16","1KΩ,5%","BottomLayer","R0201","-2.7940mm","1.5240mm","180","贴片电阻","-2.7940mm","1.5240mm","-2.4940mm","1.5240mm"
"R15","0Ω,5%//NC","BottomLayer","R0201","3.9830mm","0.8890mm","180","贴片电阻","3.9830mm","0.8890mm","4.2830mm","0.8890mm"
"R14","1KΩ,5%","BottomLayer","R0201","3.2560mm","2.7940mm","0","贴片电阻","3.2560mm","2.7940mm","2.9560mm","2.7940mm"
"R13","10KΩ,5%","BottomLayer","R0201","-5.0800mm","0.2540mm","180","贴片电阻","-5.0800mm","0.2540mm","-4.7800mm","0.2540mm"
"R12","2.2KΩ,5%","BottomLayer","R0201","0.7620mm","5.7610mm","90","贴片电阻","0.7620mm","5.7610mm","0.7620mm","5.4610mm"
"R11","330Ω,5%","BottomLayer","R0201","-1.9050mm","1.3160mm","90","贴片电阻","-1.9050mm","1.3160mm","-1.9050mm","1.0160mm"
"R9","10KΩ,5%","BottomLayer","R0201","-3.1750mm","0.5540mm","270","贴片电阻","-3.1750mm","0.5540mm","-3.1750mm","0.8540mm"
"R8","10KΩ,5%//NC","BottomLayer","R0201","5.5880mm","2.3320mm","270","贴片电阻","5.5880mm","2.3320mm","5.5880mm","2.6320mm"
"R7","100Ω,5%","BottomLayer","R0201","-1.1430mm","0.9700mm","90","贴片电阻","-1.1430mm","0.9700mm","-1.1430mm","0.6700mm"
"R6","100Ω,5%","BottomLayer","R0201","-0.5080mm","0.9350mm","90","贴片电阻","-0.5080mm","0.9350mm","-0.5080mm","0.6350mm"
"R5","2.2KΩ,5%//NC","BottomLayer","R0201","4.5689mm","3.3037mm","0","贴片电阻","4.5689mm","3.3037mm","4.2689mm","3.3037mm"
"R4","0Ω,5%","BottomLayer","R0201","-1.9050mm","-5.3340mm","270","贴片电阻","-1.9050mm","-5.3340mm","-1.9050mm","-5.0340mm"
"R3","10KΩ,5%","BottomLayer","R0201","1.3970mm","5.0340mm","270","贴片电阻","1.3970mm","5.0340mm","1.3970mm","5.3340mm"
"R2","100Ω,5%","BottomLayer","R0201","3.2560mm","2.1590mm","0","贴片电阻","3.2560mm","2.1590mm","2.9560mm","2.1590mm"
"R1","10KΩ,5%","BottomLayer","R0201","2.7940mm","1.1890mm","270","贴片电阻","2.7940mm","1.1890mm","2.7940mm","1.4890mm"
"Q2","SXSC568R","BottomLayer","SOT-723","-4.3180mm","1.1430mm","90","NPN型三极管","-4.3180mm","1.1430mm","-4.8181mm","0.7430mm"
"Q1","SXSC568R//NC","BottomLayer","SOT-723","4.5720mm","2.2860mm","270","NPN型三极管","4.5720mm","2.2860mm","5.0721mm","2.6860mm"
"LED4","TZL-13-063RGB/NC","BottomLayer","S1615RGB","5.0800mm","-5.0800mm","225","","5.0800mm","-5.0800mm","4.8891mm","-5.9073mm"
"LED3","TZL-13-063RGB/NC","BottomLayer","S1615RGB","-4.9530mm","-5.0800mm","135","","-4.9530mm","-5.0800mm","-5.7803mm","-4.8891mm"
"LED2","TZL-13-063RGB/NC","BottomLayer","S1615RGB","-4.9530mm","4.9530mm","45","","-4.9530mm","4.9530mm","-4.7621mm","5.7803mm"
"LED1","TZL-13-063RGB/NC","BottomLayer","S1615RGB","4.9530mm","4.9530mm","315","","4.9530mm","4.9530mm","5.7803mm","4.7621mm"
"J1","Connector 6 Pins","BottomLayer","CON6_10","0.0000mm","-2.3250mm","0","连接器","0.0000mm","-0.9500mm","-3.7000mm","-3.7000mm"
"D11","PT4CR3V3NE","BottomLayer","SOD-962","-5.3340mm","-1.0890mm","90","双向静电二极管","-5.3340mm","-1.0890mm","-5.3340mm","-1.2890mm"
"D10","PT4C121V","BottomLayer","SOD-962","-4.3910mm","2.6670mm","180","双向瞬态抑制二极管","-4.3910mm","2.6670mm","-4.1910mm","2.6670mm"
"D9","PT4C121V","BottomLayer","SOD-962","5.3340mm","-2.1050mm","270","双向瞬态抑制二极管","5.3340mm","-2.1050mm","5.3340mm","-1.9050mm"
"D8","PT4CR3V3NE","BottomLayer","SOD-962","5.3340mm","-1.4700mm","270","双向静电二极管","5.3340mm","-1.4700mm","5.3340mm","-1.2700mm"
"D7","PT4C051V","BottomLayer","DFN0603-2L_0.3*0.23_Pitch_0.38","5.2510mm","-0.5080mm","180","双向静电二极管","5.2510mm","-0.5080mm","5.4610mm","-0.5080mm"
"D6","PT4CR3V3NE","BottomLayer","SOD-962","-3.3750mm","2.0320mm","0","双向静电二极管","-3.3750mm","2.0320mm","-3.5750mm","2.0320mm"
"D5","PT4CR3V3NE","BottomLayer","SOD-962","3.5020mm","1.5240mm","180","双向静电二极管","3.5020mm","1.5240mm","3.7020mm","1.5240mm"
"D4","PT4CR3V3NE","BottomLayer","SOD-962","1.1430mm","0.3080mm","270","双向静电二极管","1.1430mm","0.3080mm","1.1430mm","0.5080mm"
"D3","PT4CR3V3NE","BottomLayer","SOD-962","-1.1970mm","0.1270mm","0","双向静电二极管","-1.1970mm","0.1270mm","-1.3970mm","0.1270mm"
"D2","PT4CR3V3NE","BottomLayer","SOD-962","-1.8510mm","0.5080mm","180","双向静电二极管","-1.8510mm","0.5080mm","-1.6510mm","0.5080mm"
"D1","PT4CR3V3NE","BottomLayer","SOD-962","-2.8480mm","4.5720mm","0","双向静电二极管","-2.8480mm","4.5720mm","-3.0480mm","4.5720mm"
"C13","2.2uF,10V,20%,太诱","BottomLayer","CC0402-M","-4.6990mm","-1.0850mm","90","贴片电容","-4.6990mm","-1.0850mm","-4.6990mm","-1.5350mm"
"C12","2.2nF,25V,10%,村田","BottomLayer","C0201","-4.4910mm","2.1590mm","0","贴片电容","-4.4910mm","2.1590mm","-4.7910mm","2.1590mm"
"C11","2.2uF,10V,20%,太诱","BottomLayer","CC0402-M","4.6990mm","-1.8470mm","270","贴片电容","4.6990mm","-1.8470mm","4.6990mm","-1.3970mm"
"C10","0.1uF,16V,10%,村田","BottomLayer","C0201","3.3020mm","-0.0460mm","90","贴片电容","3.3020mm","-0.0460mm","3.3020mm","-0.3460mm"
"C9","2.2uF,10V,20%,太诱","BottomLayer","C0201","5.2880mm","0.3810mm","0","贴片电容","5.2880mm","0.3810mm","4.9880mm","0.3810mm"
"C8","47nF,16V,10%,村田","BottomLayer","C0201","-3.8100mm","-0.0810mm","90","贴片电容","-3.8100mm","-0.0810mm","-3.8100mm","-0.3810mm"
"C7","0.1uF,16V,10%,村田","BottomLayer","C0201","2.8750mm","3.5560mm","180","贴片电容","2.8750mm","3.5560mm","3.1750mm","3.5560mm"
"C6","2.2uF,10V,20%,太诱","BottomLayer","C0201","2.8750mm","4.0640mm","180","贴片电容","2.8750mm","4.0640mm","3.1750mm","4.0640mm"
"C5","0.1uF,16V,10%,村田","BottomLayer","C0201","-2.8750mm","4.0640mm","0","贴片电容","-2.8750mm","4.0640mm","-3.1750mm","4.0640mm"
"C4","0.1uF,16V,10%,村田","BottomLayer","C0201","0.1270mm","1.0160mm","90","贴片电容","0.1270mm","1.0160mm","0.1270mm","0.7160mm"
"C3","0.1uF,16V,10%,村田","BottomLayer","C0201","2.4590mm","4.6990mm","180","贴片电容","2.4590mm","4.6990mm","2.7590mm","4.6990mm"
"C2","2.2uF,10V,20%,太诱","BottomLayer","C0201","2.4130mm","6.1770mm","270","贴片电容","2.4130mm","6.1770mm","2.4130mm","6.4770mm"
"C1","2.2nF,25V,10%,村田","BottomLayer","C0201","-2.5400mm","-5.3340mm","90","贴片电容","-2.5400mm","-5.3340mm","-2.5400mm","-5.6340mm"
