Comment,Description,Designator,Footprint,LibRef,Quantity

"1uF/16V","CAP, 10UF, 20%, 10V, X5R, 0603","C1","0402C","C0603X","1"
"4.7uF/6.3V","CAP, 10UF, 20%, 10V, X5R, 0603","C2","0402C","C0603X","1"
"0.1uF","CAP, 0.1uF, 10%, 10V, X5R, 0402, CAP, 0.1uF, 10%, 10V, X5R, 0201","C3, C5, C6, C7, C9, C13, C15","0402C","C0402, C0201","7"
"4.7uF","CAP, 1UF, 10%, 10V, X5R, 0402","C4","0402C","C0402","1"
"1uF","CAP, 1UF, 10%, 10V, X5R, 0402","C10","0402C","C0402","1"
"2.2uF","CAP, 2.2uF, 10%, 10V, X5R, 0201","C12","0402C","C0201","1"
"10uF","CAP, 10uF, 10%, 16V  6.3*5.3mm SMD","C14","L0805","CAP+","1"
"SES1201NT/SSC","TVS/12V","D1","TVS0402(M)","TVS0402(M)","1"
"ESD5311N-2/TR","TVS/5V","D2, D3","TVS0402(M)","TVS0402(M)","2"
"B0520X","","D4, D5","SOD523","DIODE","2"
"RSD6368FT","TRANSIENT VOLTAGE SUPPRESSOR, VBR=220V","D6","TVS0402(M)","TVS0402(M)","1"
"FUSE","","F1","0603-PUSE","FUSE","1"
"PIN-12","","J1","PIN-12","PIN-12","1"
"PIN6-CON","","J3","XH6PIN_1.0MM","PIN6-CON","1"
"AFA01-S10FCA-00","","J4","FPC-SMD_10P-P1.0_FGS-XJ-H2.0","AFA01-S10FCA-00","1"
"CONDIP2_A","Rechargeable Battery","JP1, JP2, JP3, JP4, JP5","PAIZHEN-1.27-2P","CONDIP2_A","5"
"LED_G","","LED1","LED_G","OLED","1"
"LED_B","","LED2","LED_G","OLED","1"
"LED_R","","LED3, LED4, LED5, LED6","LED_G","OLED","4"
"TYPE-C_16PIN_2MD(073)","","P1","USB-C-SMD_TYPE-C-6PIN-2MD-073","TYPE-C_16PIN_2MD(073)","1"
"CJ3139K/SOT23","SOT23","Q1","SOT23","PMOS","1"
"R0402","RES,330R, 5%, 1/10W, 0201, SMD","R1, R2, R3, R4, R5, R6, R8, R9, R10, R11, R12, R13, R14, R15","0402R","R0402","14"
"R0402","RES,330R, 5%, 1/10W, 0201, SMD","R7, R16","0402R_RANGE","R0402","2"
"100K","RES 0603  4.7KΩ±1%  1/8W","R18","0402R","R0402H","1"
"1K","RES 0603  4.7KΩ±1%  1/8W, RES,20K, 5%, 1/10W, 0201, SMD","R19, R21, R22, R23, R26, R27, R28","0402R","R0402H, R0402","7"
"20K","RES,20K, 5%, 1/10W, 0201, SMD","R20","0402R","R0402","1"
"33R","","R24, R25","0402R_RANGE","R0201","2"
"TP12","测试点，不需要贴片","TP1, TP2, TP3, TP4, TP7, TP8, TP9, TP10","TPAA","TP12","8"
"ME6230A33M3G/MICRONE","3.3V  SOT23-3","U1","SOT23-3","TCS2115_C33","1"
"CCM4201S_QFN32","","U2","QFN32_4X4_0.4","CCM4201S_QFN32","1"
"CH340E","","U3","MSOP-10","CH340E","1"
