Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\CCM4201S_MAIN_Board_V1-PIJIAKUN_20260819\Project Outputs for CCM4201S_MAIN_Board_V1-PIJIAKUN_20260819\Pick Place for CCM4201S_MAIN_Board_V1-PIJIAKUN_20260819_PCB.csv

========================================================================================================================
File Design Information:

Date:       19/08/26
Time:       16:51
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"R7","R0402","TopLayer","0402R_RANGE","15.3535","15.6210","0","RES,330R, 5%, 1/10W, 0201, SMD","15.3035","15.6210","14.8590","15.6210"
"U3","CH340E","TopLayer","MSOP-10","16.4420","7.2550","0","","16.4420","7.2550","14.3420","8.2550"
"U2","CCM4201S_QFN32","TopLayer","QFN32_4X4_0.4","26.6700","16.7640","270","","26.6700","16.7640","28.0700","18.7640"
"U1","ME6230A33M3G/MICRONE","TopLayer","SOT23-3","12.8270","26.5684","0","3.3V  SOT23-3","12.8270","26.5430","11.8745","25.5524"
"TP10","TP12","TopLayer","TPAA","18.4150","26.4160","90","测试点，不需要贴片","18.4150","26.4160","18.4150","26.4160"
"TP9","TP12","TopLayer","TPAA","29.3370","12.4460","90","测试点，不需要贴片","29.3370","12.4460","29.3370","12.4460"
"TP8","TP12","TopLayer","TPAA","30.2260","13.7160","90","测试点，不需要贴片","30.2260","13.7160","30.2260","13.7160"
"TP7","TP12","TopLayer","TPAA","13.7160","24.0030","90","测试点，不需要贴片","13.7160","24.0030","13.7160","24.0030"
"TP4","TP12","TopLayer","TPAA","9.0170","11.6840","90","测试点，不需要贴片","9.0170","11.6840","9.0170","11.6840"
"TP3","TP12","TopLayer","TPAA","12.7000","15.3670","0","测试点，不需要贴片","12.7000","15.3670","12.7000","15.3670"
"TP2","TP12","TopLayer","TPAA","12.7000","16.7640","0","测试点，不需要贴片","12.7000","16.7640","12.7000","16.7640"
"TP1","TP12","TopLayer","TPAA","9.0170","13.0810","90","测试点，不需要贴片","9.0170","13.0810","9.0170","13.0810"
"R28","1K","TopLayer","0402R","24.5110","6.0960","180","RES,20K, 5%, 1/10W, 0201, SMD","24.5110","6.0960","24.9555","6.0960"
"R27","1K","TopLayer","0402R","24.4585","3.8770","180","RES,20K, 5%, 1/10W, 0201, SMD","24.4585","3.8770","24.9030","3.8770"
"R26","1K","TopLayer","0402R","10.3505","20.9550","0","RES,20K, 5%, 1/10W, 0201, SMD","10.3505","20.9550","9.9060","20.9550"
"R25","33R","TopLayer","0402R_RANGE","15.3170","14.8590","180","","15.3670","14.8590","15.8115","14.8590"
"R24","33R","TopLayer","0402R_RANGE","15.3170","14.0970","180","","15.3670","14.0970","15.8115","14.0970"
"R23","1K","TopLayer","0402R","19.8120","16.7640","180","RES,20K, 5%, 1/10W, 0201, SMD","19.8120","16.7640","20.2565","16.7640"
"R22","1K","TopLayer","0402R","19.8120","22.0980","180","RES,20K, 5%, 1/10W, 0201, SMD","19.8120","22.0980","20.2565","22.0980"
"R21","1K","TopLayer","0402R","19.8120","19.4310","180","RES,20K, 5%, 1/10W, 0201, SMD","19.8120","19.4310","20.2565","19.4310"
