Comment,Description,Designator,Footprint,LibRef,Quantity

"2.2nF,25V,10%,村田","贴片电容","C1, C12","C0201","Cap","2"
"2.2uF,10V,20%,太诱","贴片电容","C2, C6, C9","C0201","Cap","3"
"0.1uF,16V,10%,村田","贴片电容","C3, C4, C5, C7, C10","C0201","Cap","5"
"47nF,16V,10%,村田","贴片电容","C8","C0201","Cap","1"
"2.2uF,10V,20%,太诱","贴片电容","C11, C13","CC0402-M","Cap","2"
"PT4CR3V3NE","双向静电二极管","D1, D2, D3, D4, D5, D6, D8, D11","SOD-962","ESD","8"
"PT4C051V","双向静电二极管","D7","DFN0603-2L 0.3*0.23 Pitch 0.38","ESD","1"
"PT4C121V","双向瞬态抑制二极管","D9, D10","SOD-962","TVS","2"
"Connector 6 Pins","连接器","J1","A1004LF-06A","Connector 6 Pins","1"
"SXSC568R//NC","NPN型三极管","Q1","SOT-723","NPN BCE","1"
"SXSC568R","NPN型三极管","Q2","SOT-723","NPN BCE","1"
"10KΩ,5%","贴片电阻","R1, R3, R9, R13","R0201","RES","4"
"100Ω,5%","贴片电阻","R2, R6, R7","R0201","RES","3"
"0Ω,5%","贴片电阻","R4, R18","R0201","RES","2"
"2.2KΩ,5%//NC","贴片电阻","R5","R0201","RES","1"
"10KΩ,5%//NC","贴片电阻","R8","R0201","RES","1"
"330Ω,5%","贴片电阻","R11","R0201","RES","1"
"2.2KΩ,5%","贴片电阻","R12","R0201","RES","1"
"1KΩ,5%","贴片电阻","R14, R16","R0201","RES","2"
"0Ω,5%//NC","贴片电阻","R15, R17","R0201","RES","2"
"Ring","金属环","Ring1","Ring","Ring","1"
"TP","非正常物料无需采购","TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10","TP（Φ0.5）","TP","10"
"ACM32FP421FIU6","微控制单元","U1","QFN 20 3*3 Pitch 0.4","ACM32FP421","1"
"BF83112DW7&D_7&F_4","电容按压式指纹识别芯片","U2","BF83112DW7&D_7&F_4","BF83112DW7&D_7&F_4","1"
"LP3997-33QVF","线性稳压器","U3","DFN 1*1-4L","LDO 4 Pins","1"
