Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\DSM_VB2032-241203\Project Outputs for DSM_VB2032-241203\Pick Place for DSM_VB2032-241203_Pcb.csv

========================================================================================================================
File Design Information:

Date:       13/08/26
Time:       16:27
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"D11","PT4CR3V3NE","TopLayer","SOD-962","2.1250","-2.8000","180","双向静电二极管","2.1250","-2.8000","2.3250","-2.8000"
"Ring1","Ring","BottomLayer","Ring","5.2500","-5.2000","90","金属环","5.2500","-5.2000","5.2500","-5.2000"
"U3","LP3997-33QVF","TopLayer","DFN_1*1-4L","-3.9750","-2.3826","180","线性稳压器","-3.9750","-2.3826","-3.6500","-2.0076"
"U2","BF83112DW7&D_7&F_4","BottomLayer","BF83112DW7&D_7&F_4","0.0000","0.0000","90","电容按压式指纹识别芯片","0.0000","0.0000","-1.8000","3.0500"
"U1","ACM32FP421FIU6","TopLayer","QFN_20_3*3_Pitch_0.4","0.0000","0.0000","90","微控制单元","0.0000","0.0000","-0.8000","-1.4000"
"TP10","TP","TopLayer","TP（Φ0.5）","-0.5250","-3.6000","90","非正常物料无需采购","-0.5250","-3.6000","-0.5250","-3.6000"
"TP9","TP","TopLayer","TP（Φ0.5）","1.0250","2.8750","90","非正常物料无需采购","1.0250","2.8750","1.0250","2.8750"
"TP8","TP","TopLayer","TP（Φ0.5）","0.1250","2.8500","90","非正常物料无需采购","0.1250","2.8500","0.1250","2.8500"
"TP7","TP","TopLayer","TP（Φ0.5）","-2.1367","0.3633","90","非正常物料无需采购","-2.1367","0.3633","-2.1367","0.3633"
"TP6","TP","TopLayer","TP（Φ0.5）","0.6500","-3.8250","90","非正常物料无需采购","0.6500","-3.8250","0.6500","-3.8250"
"TP5","TP","TopLayer","TP（Φ0.5）","1.4750","-3.8250","90","非正常物料无需采购","1.4750","-3.8250","1.4750","-3.8250"
"TP4","TP","TopLayer","TP（Φ0.5）","0.0500","5.5750","90","非正常物料无需采购","0.0500","5.5750","0.0500","5.5750"
"TP3","TP","TopLayer","TP（Φ0.5）","-4.4250","-3.9250","90","非正常物料无需采购","-4.4250","-3.9250","-4.4250","-3.9250"
"TP2","TP","TopLayer","TP（Φ0.5）","-3.2250","0.3000","90","非正常物料无需采购","-3.2250","0.3000","-3.2250","0.3000"
"TP1","TP","TopLayer","TP（Φ0.5）","-1.5500","-3.6000","90","非正常物料无需采购","-1.5500","-3.6000","-1.5500","-3.6000"
"R18","0Ω,5%","TopLayer","R0201","-2.8500","-3.8500","180","贴片电阻","-2.8500","-3.8500","-2.5500","-3.8500"
"R17","0Ω,5%//NC","TopLayer","R0201","-4.1500","0.0250","270","贴片电阻","-4.1500","0.0250","-4.1500","0.3250"
"R16","1KΩ,5%","TopLayer","R0201","5.0000","-0.7750","180","贴片电阻","5.0000","-0.7750","5.3000","-0.7750"
